child in a pink dress is climbing up a set of stairs in an entry way .,2
girl going into a wooden building .,6
little girl climbing into a wooden playhouse .,6
little girl climbing the stairs to her playhouse .,6
little girl in a pink dress going into a wooden cabin .,6
black dog and a spotted dog are fighting,7
black dog and a tri-colored dog playing with each other on the road .,6
black dog and a white dog with brown spots are staring at each other in the street .,6
dogs of different breeds looking at each other on the road .,1
dogs on pavement moving toward each other .,6
little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,0
little girl is sitting in front of a large painted rainbow .,1
small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,3
is a girl with pigtails sitting in front of a rainbow painting .,6
girl with pigtails painting outside in the grass .,6
man lays on a bench while his dog sits by him .,6
man lays on the bench to which a white dog is also tied .,1
man sleeping on a bench outside with a white and black dog sitting next to him .,1
shirtless man lies on a park bench with his dog .,6
laying on bench holding leash of dog sitting on ground,1
man in an orange hat starring at something .,1
man wears an orange hat and glasses .,6
man with gauges and glasses is wearing a Blitz hat .,6
man with glasses is wearing a beer can crocheted hat .,6
man with pierced ears is wearing glasses and an orange hat .,6
child playing on a rope net .,0
little girl climbing on red roping .,6
little girl in pink climbs a rope bridge at the park .,0
small child grips onto the red ropes at the playground .,3
small child climbs on a red ropes on a playground .,3
black and white dog is running in a grassy garden surrounded by a white fence .,6
black and white dog is running through the grass .,6
Boston terrier is running in the grass .,6
Boston Terrier is running on lush green grass in front of a white fence .,6
dog runs on the green grass near a wooden fence .,6
dog shakes its head near the shore , a red ball next to it .,1
white dog shakes on the edge of a beach with an orange ball .,6
with orange ball at feet , stands on shore shaking off water,0
dog playing with a red ball on the shore near the water .,6
dog with brown ears standing near water with head turned to one side .,6
boy smiles in front of a stony wall in a city .,7
little boy is standing on the street while a man in overalls is working on a stone wall .,7
young boy runs aross the street .,6
young child is walking on a stone paved street with a metal pole and a man behind him .,1
boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,6
black dog leaps over a log .,3
grey dog is leaping over a fallen tree .,6
large black dog leaps a fallen log .,3
mottled black and grey dog in a blue collar jumping over a fallen tree .,1
black dog jumped the tree stump .,1
brown and white dog is running through the snow .,6
dog is running in the snow,6
dog running through snow .,6
white and brown dog is running through a snow covered field .,7
white and brown dog is running over the surface of the snow .,6
man in a hat is displaying pictures next to a skier in a blue hat .,0
man skis past another man displaying paintings in the snow .,0
person wearing skis looking at framed pictures set up in the snow .,1
skier looks at framed pictures in the snow next to trees .,3
on skis looking at artwork for sale in the snow,2
collage of one person climbing a cliff .,6
group of people are rock climbing on a rock climbing wall .,9
group of people climbing a rock while one man belays,6
climbers are ascending a rock face whilst another man stands holding the rope .,0
climbers in a row are climbing the rock while the man in red watches and holds the line .,1
brown dog chases the water from a sprinkler on a lawn .,9
brown dog plays with the hose .,6
brown dog running on a lawn near a garden hose,9
dog is playing with a hose .,6
brown dog running away from the sprinkler in the grass .,6
dog prepares to catch a thrown object in a field with nearby cars .,6
white dog is about to catch a yellow ball in its mouth .,6
white dog is about to catch a yellow dog toy .,6
white dog is ready to catch a yellow ball flying through the air .,6
white dog running after a yellow ball,6
black and white dog jumping in the air to get a toy .,7
black and white dog jumps up towards a yellow toy .,9
dog leaps to catch a ball in a field .,6
white dog is trying to catch a ball in midair over a grassy field .,6
white dog is playing in a green field with a yellow toy .,6
child and a woman are at waters edge in a big city .,3
large lake with a lone duck swimming in it with several people around the edge of it .,0
little boy at a lake watching a duck .,6
young boy waves his hand at the duck in the water surrounded by a green park .,7
people are at the edge of a lake , facing the water and the city skyline .,1
couple and an infant , being held by the male , sitting next to a pond with a near by stroller .,0
couple sit on the grass with a baby and stroller .,3
couple with their newborn baby sitting under a tree facing a lake .,0
man and woman care for an infant along the side of a body of water .,6
with a baby sit outdoors next to their stroller .,3
black dog running in the surf .,6
black lab with tags frolicks in the water .,6
dog splashes in the water,6
black dog runs through the water .,6
is a black dog splashing in the water .,6
man drilling a hole in the ice .,6
man is drilling through the frozen ice of a pond .,3
person in the snow drilling a hole in the ice .,6
person standing on a frozen lake .,3
men are ice fishing .,9
different breeds of brown and white dogs play on the beach .,6
dogs are making a turn on a soft sand beach .,6
dogs playing in the sand at the beach .,6
dogs playing together on a beach .,0
large tan dogs play along a sandy beach .,1
man uses ice picks and crampons to scale ice .,0
ice climber in a blue jacket and black pants is scaling a frozen ice wall .,0
ice climber scaling a frozen waterfall .,3
person in blue and red ice climbing with two picks .,6
climbing an ice wall,6
black dog carries a green toy in his mouth as he walks through the grass .,7
black dog carrying something through the grass .,6
black dog has a blue toy in its mouth .,6
dog in grass with a blue item in his mouth .,0
wet black dog is carrying a green toy through the grass .,0
man and a baby are in a yellow kayak on water .,6
man and a little boy in blue life jackets are rowing a yellow canoe .,6
man and child kayak through gentle waters .,7
man and young boy ride in a yellow kayak .,3
and child in yellow kayak,6
black dog and a brown dog are jumping up to catch a red toy .,6
black dog and a brown dog play with a red toy on a courtyard .,7
brown and black lab are outside and the black lab is catching a toy in its mouth .,0
dog snaps at red and black object as brown dog lunges .,7
Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,0
boy with a stick kneeling in front of a goalie net,1
child in a red jacket playing street hockey guarding a goal .,3
young kid playing the goalie in a hockey rink .,3
young male kneeling in front of a hockey goal with a hockey stick in his right hand .,3
goalie boy in red jacket crouches by goal , with stick .,3
man in black is sitting next to a modern art structure in front of a glass building .,7
man sits and reads a newspaper by a sculpture outside of an office building .,2
man sits near a large statue .,6
man sitting in front of a metal sculpture in front of a building .,7
man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,7
tent is being set up on the ice .,6
men are about to enter an ice fishing tent on a snow covered lake .,0
men setting up a blue ice fishing hut on an iced over lake,0
men , standing on an ice , looking into something covered with a blue tarp .,0
people standing outside a blue tent structure on a snowy surface .,6
woman crouches near three dogs in a field .,3
dogs are playing on grassy hill with a blue sky .,6
dogs are standing in the grass and a person is sitting next to them,6
dogs on a grassy hill,6
dogs stand in a grassy field while a person kneels nearby .,2
man is standing in front of a skyscraper,6
man stands in front of a skyscraper .,6
man stands in front of a very tall building .,6
the man in a red shirt stands a large skyscraper .,6
is a skyscraper in the distance with a man walking in front of the camera .,6
boy bites hard into a treat while he sits outside .,2
child biting into a baked good .,0
small boy putting something in his mouth with both hands .,6
boy eats his food outside at the table .,6
boy is eating pizza over a tin dish .,3
sit on the mountainside and check out the view .,6
people are on a hilltop overlooking a green valley .,3
people hang out on top of a big hill .,6
people overlook a green valley .,6
people rest on a ledge above the moutains .,7
boy in a green shirt is looking down at many inflatable boats .,7
boy in a green shirt watches kayakers .,6
boy looks over a railing at the many boats and rafts below in the water .,9
young boy overlooking a crowd of inflatable boats .,3
young boy wearing a jersey looks down over a ledge at many boats in the water .,7
man and woman pose for the camera while another man looks on .,1
man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,1
multiracial couple posing for a picture,1
man and blond woman holding hands outdoors , man in background watches .,0
in blue shirt biting hand of girl in black striped jacket while another guy watches,1
person eats takeout while watching a small television .,2
person sits on the floor and eats in front of a television .,2
television with a picture of a girl on it .,6
young man sits on the floor by the television with a fast food meal in front of him .,1
is laying in front of the TV eating food .,2
couple of several people sitting on a ledge overlooking the beach,3
group of people sit on a wall at the beach .,6
group of teens sit on a wall by a beach .,6
of people at the beach .,6
young people sitting on a rail above a crowded beach .,3
boy takes a jump on his skateboard while another boy with a skateboard watches .,0
child is performing a skateboard trick while another child with a skateboard leans on a wall .,0
little boy skateboarder is doing a trick on his board while another young skateboarder watches .,0
young boy skateboarder jumping on a platform on a skateboard .,2
skateboarders .,6
girl paddling down a large river , as seen from behind her .,3
woman kayaking down a river .,6
woman paddles a boat down a river .,6
woman with a paddle .,6
woman with a paddle sits in a boat on the water .,6
girl in pigtails splashes in the shallow water .,6
girls plays in the surf .,6
girl with pigtails is playing in the ocean by the beach .,6
girl with pigtails plays in the water .,6
young girl in pigtails plays in the water .,6
group of four children wearing pajamas have a pillow fight .,0
group of kids have a pillow-fight .,6
group of young children playing pillow fight on a bed .,1
having a pillow fight .,1
children are having a pillow fight .,1
constructions workers sit on a beam taking a break .,1
construction workers are sitting up on the side of a building .,6
construction workers sitting on an I-beam .,6
construction workers take a seat on a steel beam .,3
men take a break from construction .,1
children are playing in the water .,6
boys , one with a yellow and orange ball , play in some water in front of a field .,9
boys play in a puddle .,6
children play with a balloon in mud on a sunny day .,2
kids are running and playing in some water .,6
blond woman in a blue shirt appears to wait for a ride .,3
blond woman is on the street hailing a taxi .,0
woman is signaling is to traffic , as seen from behind .,3
woman with blonde hair wearing a blue tube top is waving on the side of the street .,0
woman in the blue dress is holding out her arm at oncoming traffic .,7
little girl looking at a brochure on train rides,2
young blond girl with a magizine in her hands,1
young girl on a train reads a book about train rides .,0
young girl sits on a seat and looks at a train pamphlet .,3
sitting down looking at train ride brochure,2
brown dog is running after a black dog on a rocky shore .,6
brown dog is running after the black dog .,6
dogs playing on a beach .,6
dogs run across stones near a body of water .,6
dogs run towards each other on a rocky area with water in the background .,9
boy descends off the end of a high diving board .,1
child jumps off a high diving board into the pool .,1
kid jumps off the diving board and into the swimming pool below .,0
little kid is jumping off a high dive at the pool .,1
boy is jumping off a high diving board into the pool .,1
guy stands by a window taking his overshirt off .,2
man in a tank top stands next to a chrome door .,3
man puts his shirt on near an elevator .,0
man stands by an elevator with his head down .,0
man is putting on his shirt near an elevator .,0
light-colored dog runs on the beach .,3
small yellow dog runs on a beach,6
tan dog runs on a sandy beach .,1
white dog is running down a rocky beach .,6
brown dog running along the beach .,6
boy in his blue swim shorts at the beach .,2
boy smiles for the camera at a beach .,6
young boy in swimming trunks is walking with his arms outstretched on the beach .,1
playing on the beach .,6
boy is playing on the shore of an ocean .,6
hiker standing high on a bluff overlooking the mountains below .,0
person on ski 's looks from hill over snow covered landscape,2
skier is overlooking a snow-covered mountain .,3
skier is overlooking the beautiful white snow covered landscape .,7
skier pauses on a mountaintop .,6
black and white dog is attempting to catch a yellow and purple object in a low cut yard .,9
black and white dog jumps after a yellow toy .,6
black and white dog jumps to get the Frisbee .,6
black dog is jumping up to catch a purple and green toy .,6
dog jumps to catch a toy .,6
man in blue shorts is laying in the street .,7
man in blue shorts lays down outside in a parking lot .,7
man laying down in middle of street during heavy traffic .,7
man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .,0
shirtless man is laying down in the middle of a busy street .,7
white and black dog and a brown dog in sandy terrain .,6
woolly dog chases a Doberman on a beach .,2
dog is chasing another one on the beach .,6
two large dogs are running through sand .,6
large dogs chasing each other at the beach .,6
black and white dog catches a toy in midair .,6
dog and a tennis ball .,6
dog is jumping to catch a object thrown at it ,,6
dog leaps while chasing a tennis ball through a grassy field .,6
multicolor dog jumping to catch a tennis ball in a grassy field .,6
crowd watching air balloons at night .,1
group of hot air balloons lit up at night .,0
are watching hot air balloons in the park .,0
watching hot air balloons .,3
large balloons are lined up at nighttime near a crowd .,2
child with a helmet on his head rides a bike .,0
little boy rides a bike down a hill on a miniature dirt bike .,0
young boy in a helmet rides a bike on the road .,0
little boy rides his bicycle in a race .,6
young boy pedals quickly at a BMX race .,7
group of eight people are gathered around a table at night .,7
group of people gathered around in the dark .,6
group of people sit around a table outside on a porch at night .,1
group of people sit outdoors together at night .,0
group of people sitting at a table in a darkened room .,6
man in a brown shirt and dark shorts plays on the beach with his two black dogs .,6
man in shorts with two black dogs holds a ball throwing toy at the beach .,9
man playing with two black dogs on the beach,6
man with two dogs on a beach,6
at the beach with two dogs .,6
boy cleans the bubbles off his face .,1
boy covered in suds has his face wiped clean .,0
boy is covered in bubbles .,7
child covered in foam is climbing on a black inflatable ramp .,7
person covered in soapy water is getting cleaned off .,0
boy in blue shorts slides down a slide into a pool .,6
boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .,1
boy rides down a slide into a small backyard pool .,6
boy sliding down a slide into a pool with colorful tubes .,6
child is falling off a slide onto colored balloons floating on a pool of water .,2
man in a wetsuit is throwing a baby wearing a wetsuit up into the air .,0
man in a wetsuit is throwing a toddler up in the air and is ready to catch him .,3
man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .,0
man is in the pool and throwing a small boy into the air .,6
water droplets fly , a man throws a little boy up in the air .,3
little boy sticks his tongue out for the camera . Another boy looks on .,1
boys make faces .,1
young boys are looking at the camera , one smiling , the other sticking his tongue out .,0
young boys look up at the camera as one sticks out his tongue .,1
young boys making silly faces .,1
blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .,0
girl and her horse stand by a fire .,6
girl holding a horse 's lead behind a fire .,3
man , and girl and two horses are near a contained fire .,6
people and two horses watching a fire .,6
bulldog , a sheep dog , and a boxer standing in a yard .,3
large brown dog is pushing a small Boston terrier with his face while anouther dog watches .,0
large skinny dog stands near two smaller dogs int the dirt .,0
are three dogs starring at a ball in the middle of them .,1
dogs of various sizes .,6
lady and a man with no shirt sit on a dock .,6
man and a woman are sitting on a dock together .,0
man and a woman sitting on a dock .,6
man and woman sitting on a deck next to a lake .,2
shirtless man and a woman sitting on a dock .,6
closeup of a white dog that is laying its head on its paws .,6
large white dog lying on the floor .,6
white dog has its head on the ground .,6
white dog is resting its head on a tiled floor with its eyes open .,1
white dog rests its head on the patio bricks .,6
woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,3
woman in blue shorts and a white shirt is indoor rock climbing .,3
girl is climbing a rock wall .,6
girl is in a harness , climbing rocks .,6
climbing an artificial rock wall .,0
boy is jumping on an inflatable ring and a girl is watching him,7
boy jumping on a water jumphouse,6
teenage boy is jumping on an inflatable slide .,6
young boy jumping and a young girl seating in an inflatable pool .,2
young kids are playing in the water on an inflated toy .,2
family playing on a tractor on a beautiful day,7
ride a tractor in a field .,2
children playing on a Polaris vehicle outdoors .,0
children played on the four wheeler in the field .,7
four kids are riding on an ATV in a field .,1
woman in a red costume to the left of a man and woman standing together .,0
woman wearing a red costume looks at two other people standing on a street .,7
young woman in a red sequined costume and feather stands on the sidewalk .,0
girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .,0
young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .,0
walking up the hill through a forest .,6
